"DISTRICT","COUNTY","SYP_NO","ROUTE_PREFIX","ROUTE_NO","ROUTE","TYPE_WORK","BMP","EMP","DESCRIPTION","BRIDGE_ID","ENACT_INITIAL_YEAR","ENACT_YEAR","ENACT_PHASE","FUND_CODE","RSY_FUND","RSY_YEAR","LATEST_LETTING_DATE","AWARDED","NUMBER_OF_LETTINGS"
"District 11","Clay","11-80425.00","CR","1156","CR-1156","BRIDGE REPLACEMENT(P)","0.15","0.175","Powder Horn Rd Bridge Replacement 026C00029N (2026CCN)","026C00029N","2026","2026","C","FBP","400000","2027","","",""
"District 11","Harlan","11-04370.00","KY","987","KY-987","SAF-GUARDRAIL(P)","17.18","17.58","INSTALL GUARDRAIL ON KY-987   IN HARLAN COUNTY (2024CCR)","","2020","2026","C","GR","90000","2026","","",""
"District 11","Harlan","11-04371.00","KY","987","KY-987","SAF-GUARDRAIL(P)","18.48","18.57","INSTALL GUARDRAIL ON KY-987   IN HARLAN COUNTY (2024CCR)","","2020","2026","C","GR","30000","2026","","",""
"District 11","Harlan","11-05012.00","US","421","US-421","LANDSLIDE REPAIR(P)","22.98","23.02","Address Slide on US 421 in Harlan County. (2026CCR)","","2026","2026","C","SPP","5040000","2029","","",""
"District 11","Harlan","11-10015.00","KY","2007","KY-2007","AM-BRIDGE (P)","3.204","3.214","BRIDGE PROJECT IN HARLAN COUNTY ON (048B00179N) KY-2007 AT WALLINS CREEK","048B00179N","2018","2026","C","BRX","966368","2026","","",""
"District 11","Harlan","11-10015.00","KY","2007","KY-2007","AM-BRIDGE (P)","3.204","3.214","BRIDGE PROJECT IN HARLAN COUNTY ON (048B00179N) KY-2007 AT WALLINS CREEK","048B00179N","2018","2026","D","BRX","144955","2026","","",""
"District 11","Harlan","11-10018.00","CS","1041","CS-1041","AM-BRIDGE (P)","0.126","0.182","ADDRESS DEFICIENCIES OF BRIDGE ON KENTUCKY AV OVER MARTINS FK CUMBERLAND RV (048C00067N) (2026CCR)","048C00067N","2018","2026","C","BRZ","6799950","2026","2025-08-21","Awarded","1"
"District 11","Harlan","11-10018.00","CS","1041","CS-1041","AM-BRIDGE (P)","0.126","0.182","ADDRESS DEFICIENCIES OF BRIDGE ON KENTUCKY AV OVER MARTINS FK CUMBERLAND RV (048C00067N) (2026CCR)","048C00067N","2018","2026","D","BRZ","1019992","2026","2025-08-21","Awarded","1"
"District 11","Harlan","11-10194.00","US","119","US-119","AM-BRIDGE (P)","35.566","35.656","BRIDGE PROJECT IN HARLAN COUNTY ON (048B00107N) US-119 AT POOR FK CUMBERLAND RVR","048B00107N","2022","2026","C","FBP","5500000","2031","","",""
"District 11","Harlan","11-10194.00","US","119","US-119","AM-BRIDGE (P)","35.566","35.656","BRIDGE PROJECT IN HARLAN COUNTY ON (048B00107N) US-119 AT POOR FK CUMBERLAND RVR","048B00107N","2022","2026","D","FBP","550000","2031","","",""
"District 11","Harlan","11-10233.00","KY","38","KY-38","AM-BRIDGE (P)","19.846","19.854","ADDRESS DEFICIENCIES OF BRIDGE ON KY 38 OVER Fanny Wynn Branch (048B00197N)","048B00197N","2024","2026","C","BRX","776000","2027","","",""
"District 11","Harlan","11-20040.00","US","119","US-119","AM-PAVEMENT (PRI)(P)","6.0","7.8","ADDRESS CONDITION OF US-119 FROM MILEPOINT 6 TO MILEPOINT 7.8","","2026","2026","D","STP","272000","2029","","",""
"District 11","Harlan","11-20040.00","US","119","US-119","AM-PAVEMENT (PRI)(P)","6.0","7.8","ADDRESS CONDITION OF US-119 FROM MILEPOINT 6 TO MILEPOINT 7.8","","2026","2026","C","STP","3128000","2030","","",""
"District 11","Harlan","11-20041.00","US","119","US-119","AM-PAVEMENT (PRI)(P)","26.0","28.066","ADDRESS CONDITION OF US-119 FROM MILEPOINT 26 TO MILEPOINT 28.066","","2026","2026","C","STP","3956000","2032","","",""
"District 11","Harlan","11-20041.00","US","119","US-119","AM-PAVEMENT (PRI)(P)","26.0","28.066","ADDRESS CONDITION OF US-119 FROM MILEPOINT 26 TO MILEPOINT 28.066","","2026","2026","D","STP","344000","2032","","",""
"District 11","Harlan","11-80257.00","KY","72","KY-72","RECONSTRUCTION(O)","4.6","5.0","EXTEND KY 72 FROM ALVA/BLACK STAR NEAR HARLAN /BELL COUNTY LINE TO LIGGETT WEST OF HARLAN CITY. APPROXIMATELY 5 MILES OF RECONSTRUCTION (2022CCN) (2024CCR)","","2022","2026","R","SPP","2000000","2030","","",""
"District 11","Harlan","11-80257.00","KY","72","KY-72","RECONSTRUCTION(O)","4.6","5.0","EXTEND KY 72 FROM ALVA/BLACK STAR NEAR HARLAN /BELL COUNTY LINE TO LIGGETT WEST OF HARLAN CITY. APPROXIMATELY 5 MILES OF RECONSTRUCTION (2022CCN) (2024CCR)","","2022","2026","D","SPP","1750000","2029","","",""
"District 11","Harlan","11-80257.00","KY","72","KY-72","RECONSTRUCTION(O)","4.6","5.0","EXTEND KY 72 FROM ALVA/BLACK STAR NEAR HARLAN /BELL COUNTY LINE TO LIGGETT WEST OF HARLAN CITY. APPROXIMATELY 5 MILES OF RECONSTRUCTION (2022CCN) (2024CCR)","","2022","2026","U","SPP","500000","2031","","",""
"District 11","Harlan","11-80257.00","KY","72","KY-72","RECONSTRUCTION(O)","4.6","5.0","EXTEND KY 72 FROM ALVA/BLACK STAR NEAR HARLAN /BELL COUNTY LINE TO LIGGETT WEST OF HARLAN CITY. APPROXIMATELY 5 MILES OF RECONSTRUCTION (2022CCN) (2024CCR)","","2022","2026","C","SPP","30000000","2032","","",""
"District 11","Harlan","11-80259.00","US","421","US-421","SPOT IMPROVEMENTS(O)","17.2","23.0","SPOT IMPROVEMENTS TO IMPROVE GEOMETRICS AT PARTICULAR LOCATIONS OF US 421 CROSSING OVER PINE MOUNTAIN BETWEEN US 119 AND KY 221 IN HARLAN COUNTY TO ADDRESS SAFETY CONCERNS. MILEPOINT 17.2 TO MILEPOINT 23.0 (2022CCN)","","2022","2026","U","SPP","800000","2029","","",""
"District 11","Harlan","11-80259.00","US","421","US-421","SPOT IMPROVEMENTS(O)","17.2","23.0","SPOT IMPROVEMENTS TO IMPROVE GEOMETRICS AT PARTICULAR LOCATIONS OF US 421 CROSSING OVER PINE MOUNTAIN BETWEEN US 119 AND KY 221 IN HARLAN COUNTY TO ADDRESS SAFETY CONCERNS. MILEPOINT 17.2 TO MILEPOINT 23.0 (2022CCN)","","2022","2026","R","SPP","750000","2026","","",""
"District 11","Harlan","11-80259.00","US","421","US-421","SPOT IMPROVEMENTS(O)","17.2","23.0","SPOT IMPROVEMENTS TO IMPROVE GEOMETRICS AT PARTICULAR LOCATIONS OF US 421 CROSSING OVER PINE MOUNTAIN BETWEEN US 119 AND KY 221 IN HARLAN COUNTY TO ADDRESS SAFETY CONCERNS. MILEPOINT 17.2 TO MILEPOINT 23.0 (2022CCN)","","2022","2026","C","SPP","13520000","2030","","",""
"District 11","Harlan","11-80260.00","KY","72","KY-72","RECONSTRUCTION(O)","4.6","5.0","TO IMPROVE ACCESS, CONNECTIVITY AND MOBILITY BY EXTENDING KY 72 FROM ALVA/BLACK STAR NEAR HARLAN/ BELL COUNTY LINE. RECONSTRUCT EXISTING COAL HAUL ROAD TO CONNECT KY 72 TO KY 72 (2022CCN) (2024CCR)","","2022","2026","D","SPP","1000000","2029","","",""
"District 11","Harlan","11-80260.00","KY","72","KY-72","RECONSTRUCTION(O)","4.6","5.0","TO IMPROVE ACCESS, CONNECTIVITY AND MOBILITY BY EXTENDING KY 72 FROM ALVA/BLACK STAR NEAR HARLAN/ BELL COUNTY LINE. RECONSTRUCT EXISTING COAL HAUL ROAD TO CONNECT KY 72 TO KY 72 (2022CCN) (2024CCR)","","2022","2026","R","SPP","500000","2030","","",""
"District 11","Harlan","11-80260.00","KY","72","KY-72","RECONSTRUCTION(O)","4.6","5.0","TO IMPROVE ACCESS, CONNECTIVITY AND MOBILITY BY EXTENDING KY 72 FROM ALVA/BLACK STAR NEAR HARLAN/ BELL COUNTY LINE. RECONSTRUCT EXISTING COAL HAUL ROAD TO CONNECT KY 72 TO KY 72 (2022CCN) (2024CCR)","","2022","2026","U","SPP","200000","2031","","",""
"District 11","Harlan","11-80260.00","KY","72","KY-72","RECONSTRUCTION(O)","4.6","5.0","TO IMPROVE ACCESS, CONNECTIVITY AND MOBILITY BY EXTENDING KY 72 FROM ALVA/BLACK STAR NEAR HARLAN/ BELL COUNTY LINE. RECONSTRUCT EXISTING COAL HAUL ROAD TO CONNECT KY 72 TO KY 72 (2022CCN) (2024CCR)","","2022","2026","C","SPP","8000000","2032","","",""
"District 11","Harlan","11-80358.00","KY","2010","KY-2010","SAFETY(P)","1.2","3.5","Spot improvements to widen at particular locations along KY 2010 to improve mobility and safety (2024CCN)","","2024","2026","D","SPP","520000","2029","","",""
"District 11","Harlan","11-80358.00","KY","2010","KY-2010","SAFETY(P)","1.2","3.5","Spot improvements to widen at particular locations along KY 2010 to improve mobility and safety (2024CCN)","","2024","2026","C","SPP","2000000","2031","","",""
"District 11","Harlan","11-80358.00","KY","2010","KY-2010","SAFETY(P)","1.2","3.5","Spot improvements to widen at particular locations along KY 2010 to improve mobility and safety (2024CCN)","","2024","2026","R","SPP","110000","2030","","",""
"District 11","Harlan","11-80359.00","KY","221","KY-221","SPOT IMPROVEMENTS(O)","10.0","17.5","Spot improvements to improve geometrics at particular locations of KY 221 to address safety concerns (MP 10 - 17.5) (2024CCN)","","2024","2026","D","SPP","520000","2029","","",""
"District 11","Harlan","11-80359.00","KY","221","KY-221","SPOT IMPROVEMENTS(O)","10.0","17.5","Spot improvements to improve geometrics at particular locations of KY 221 to address safety concerns (MP 10 - 17.5) (2024CCN)","","2024","2026","C","SPP","1300000","2032","","",""
"District 11","Harlan","11-80359.00","KY","221","KY-221","SPOT IMPROVEMENTS(O)","10.0","17.5","Spot improvements to improve geometrics at particular locations of KY 221 to address safety concerns (MP 10 - 17.5) (2024CCN)","","2024","2026","R","SPP","200000","2030","","",""
"District 11","Harlan","11-80359.00","KY","221","KY-221","SPOT IMPROVEMENTS(O)","10.0","17.5","Spot improvements to improve geometrics at particular locations of KY 221 to address safety concerns (MP 10 - 17.5) (2024CCN)","","2024","2026","U","SPP","200000","2031","","",""
"District 11","Harlan","11-80363.00","US","119","US-119","CONGESTION MITIGTN(O)","4.0","12.3","Construct various turn lanes along US 119 at the following highways - Camp O. Cumberlands, Billy G Hollow Road, KY 3467, Shewmaker Hollow, KY 3452 ad Tremont Lane (2024CCN)","","2024","2026","C","SAF","1040000","2026","","",""
"District 11","Harlan","11-80365.00","KY","38","KY-38","SAFETY(P)","0.0","29.474","Improve safety along KY 38, KY 221, KY 987, US 421, and KY 522 by removing trees (2024CCN)","","2024","2026","C","SPP","1000000","2029","","",""
"District 11","Harlan","11-80401.00","US","421","US-421","RECONSTRUCTION(O)","1.5","4.0","Reconstruct remaining unimproved section of US421 from the end of the progressive design-build project to Barn Branch (2026CCN)","","2026","2026","R","STP","2070000","2029","","",""
"District 11","Harlan","11-80401.00","US","421","US-421","RECONSTRUCTION(O)","1.5","4.0","Reconstruct remaining unimproved section of US421 from the end of the progressive design-build project to Barn Branch (2026CCN)","","2026","2026","C","STP","14130000","2031","","",""
"District 11","Harlan","11-80401.00","US","421","US-421","RECONSTRUCTION(O)","1.5","4.0","Reconstruct remaining unimproved section of US421 from the end of the progressive design-build project to Barn Branch (2026CCN)","","2026","2026","D","STP","2000000","2026","","",""
"District 11","Harlan","11-80401.00","US","421","US-421","RECONSTRUCTION(O)","1.5","4.0","Reconstruct remaining unimproved section of US421 from the end of the progressive design-build project to Barn Branch (2026CCN)","","2026","2026","U","STP","2000000","2029","","",""
"District 11","Jackson","11-04404.00","KY","89","KY-89","SAF-GUARDRAIL(P)","17.78","17.97","INSTALL GUARDRAIL ON KY-89   IN JACKSON COUNTY","","2020","2026","C","GR","40000","2026","","",""
"District 11","Jackson","11-10041.00","KY","89","KY-89","AM-BRIDGE (P)","0.0","0.01","BRIDGE PROJECT IN JACKSON COUNTY ON (055B00028N) KY-89 AT HORSE LICK CREEK","055B00028N","2018","2026","R","BRZ","2000","2026","","",""
"District 11","Jackson","11-10041.00","KY","89","KY-89","AM-BRIDGE (P)","0.0","0.01","BRIDGE PROJECT IN JACKSON COUNTY ON (055B00028N) KY-89 AT HORSE LICK CREEK","055B00028N","2018","2026","U","BRZ","5000","2026","","",""
"District 11","Jackson","11-10041.00","KY","89","KY-89","AM-BRIDGE (P)","0.0","0.01","BRIDGE PROJECT IN JACKSON COUNTY ON (055B00028N) KY-89 AT HORSE LICK CREEK","055B00028N","2018","2026","C","BRZ","1056128","2028","","",""
"District 11","Jackson","11-10198.00","US","421","US-421","AM-BRIDGE (P)","14.278","14.288","BRIDGE PROJECT IN JACKSON COUNTY ON (055B00001N) US-421 AT INDIAN CREEK","055B00001N","2022","2026","C","FBP","1540000","2026","","",""
"District 11","Jackson","11-80104.00","US","421","US-421","RECONSTRUCTION(O)","26.7","27.312","ADDRESS SUBSTANDARD HORIZONTAL AND VERTICAL ALIGNMENT OF US 421 IN THE CLOVER BOTTOM AREA NEAR THE STONE QUARRY. (2020CCN)","","2020","2026","R","SPP","1395500","2027","","",""
"District 11","Jackson","11-80104.00","US","421","US-421","RECONSTRUCTION(O)","26.7","27.312","ADDRESS SUBSTANDARD HORIZONTAL AND VERTICAL ALIGNMENT OF US 421 IN THE CLOVER BOTTOM AREA NEAR THE STONE QUARRY. (2020CCN)","","2020","2026","U","SPP","400000","2028","","",""
"District 11","Jackson","11-80104.00","US","421","US-421","RECONSTRUCTION(O)","26.7","27.312","ADDRESS SUBSTANDARD HORIZONTAL AND VERTICAL ALIGNMENT OF US 421 IN THE CLOVER BOTTOM AREA NEAR THE STONE QUARRY. (2020CCN)","","2020","2026","C","SPP","14360000","2030","","",""
"District 11","Jackson","11-80105.00","US","421","US-421","SAFETY","11.6","12.6","ADDRESS SAFETY ISSUES WITH VERTICAL AND HORIZONTAL ALIGNMENT ON US 421 FROM MP 11.6 EAST OF PILGRIMS REST RD TO MP 12.6 (2020CCN) (2024CCR)","","2020","2026","C","STP","13000000","2026","","",""
"District 11","Jackson","11-80261.00","KY","578","KY-578","REALIGNMENT","3.8","4.2","MOVE KY 578 OVER 10FT FOR IMPROVED SIGHT DISTANCE AND CREATE A BETTER APPROACH FOR MOORE CREEK GREEN HILL ROAD (2022CCN)","","2022","2026","R","SPP","60000","2027","","",""
"District 11","Jackson","11-80261.00","KY","578","KY-578","REALIGNMENT","3.8","4.2","MOVE KY 578 OVER 10FT FOR IMPROVED SIGHT DISTANCE AND CREATE A BETTER APPROACH FOR MOORE CREEK GREEN HILL ROAD (2022CCN)","","2022","2026","U","SPP","340000","2028","","",""
"District 11","Jackson","11-80261.00","KY","578","KY-578","REALIGNMENT","3.8","4.2","MOVE KY 578 OVER 10FT FOR IMPROVED SIGHT DISTANCE AND CREATE A BETTER APPROACH FOR MOORE CREEK GREEN HILL ROAD (2022CCN)","","2022","2026","C","SPP","1400000","2028","","",""
"District 11","Jackson","11-80313.00","KY","290","KY-290","REALIGNMENT","4.7","8.85","Improve the existing geometric alignments at two spot locations (MP 4.7-6.3 and 8.0-8.5) by realigning curves in high crash cluster areas and widening. Improve design speed to 45 mph along these two sections.  (2024CCN)","","2024","2026","C","SPP","5040000","2032","","",""
"District 11","Jackson","11-80313.00","KY","290","KY-290","REALIGNMENT","4.7","8.85","Improve the existing geometric alignments at two spot locations (MP 4.7-6.3 and 8.0-8.5) by realigning curves in high crash cluster areas and widening. Improve design speed to 45 mph along these two sections.  (2024CCN)","","2024","2026","D","SPP","1040000","2029","","",""
"District 11","Jackson","11-80313.00","KY","290","KY-290","REALIGNMENT","4.7","8.85","Improve the existing geometric alignments at two spot locations (MP 4.7-6.3 and 8.0-8.5) by realigning curves in high crash cluster areas and widening. Improve design speed to 45 mph along these two sections.  (2024CCN)","","2024","2026","U","SPP","1620000","2031","","",""
"District 11","Jackson","11-80313.00","KY","290","KY-290","REALIGNMENT","4.7","8.85","Improve the existing geometric alignments at two spot locations (MP 4.7-6.3 and 8.0-8.5) by realigning curves in high crash cluster areas and widening. Improve design speed to 45 mph along these two sections.  (2024CCN)","","2024","2026","R","SPP","1650000","2030","","",""
"District 11","Knox","11-00182.00","KY","312","KY-312","DESIGN ENGINEERING(O)","0.0","0.9","Drainage Improvements along KY 312 (Master Street) from MP 0 to MP 0.90 in Know County at Corbin, Kentucky. (2022BOP) (2024CCN)","","2024","2026","U","STP","1000000","2030","","",""
"District 11","Knox","11-00182.00","KY","312","KY-312","DESIGN ENGINEERING(O)","0.0","0.9","Drainage Improvements along KY 312 (Master Street) from MP 0 to MP 0.90 in Know County at Corbin, Kentucky. (2022BOP) (2024CCN)","","2024","2026","C","STP","4160000","2031","","",""
"District 11","Knox","11-00182.00","KY","312","KY-312","DESIGN ENGINEERING(O)","0.0","0.9","Drainage Improvements along KY 312 (Master Street) from MP 0 to MP 0.90 in Know County at Corbin, Kentucky. (2022BOP) (2024CCN)","","2024","2026","R","STP","750000","2029","","",""
"District 11","Knox","11-04373.00","KY","11","KY-11","SAF-GUARDRAIL(P)","4.77","4.9","INSTALL GUARDRAIL ON KY-11   IN KNOX COUNTY","","2020","2026","C","GR","30000","2026","","",""
"District 11","Knox","11-04379.00","KY","3438","KY-3438","SAF-GUARDRAIL(P)","3.45","3.5","INSTALL GUARDRAIL ON KY-3438   IN KNOX COUNTY","","2020","2026","C","GR","20000","2026","","",""
"District 11","Knox","11-04405.00","KY","11","KY-11","SAF-GUARDRAIL(P)","4.75","4.89","INSTALL GUARDRAIL ON KY-11   IN KNOX COUNTY","","2020","2026","C","GR","29000","2026","","",""
"District 11","Knox","11-08857.00","KY","3439","KY-3439","BIKE/PED FACIL(O)","0.0","0.9","IMPROVE SAFETY OF INTERSECTION AT US 25E AND KY 3439 AND PROVIDE SIDEWALKS TO AN AREA FREQUENTED BY PEDESTRIANS (MP 0.0 - MP 0.9) (2022CCR) (2024CCR)","","2014","2026","C","SPP","2920000","2027","","",""
"District 11","Knox","11-10201.00","KY","223","KY-223","AM-BRIDGE (P)","4.537","4.547","BRIDGE PROJECT IN KNOX COUNTY ON (061B00056N) KY-223 AT ROAD FK STINKING CREEK","061B00056N","2022","2026","C","BRX","1124700","2032","","",""
"District 11","Knox","11-10201.00","KY","223","KY-223","AM-BRIDGE (P)","4.537","4.547","BRIDGE PROJECT IN KNOX COUNTY ON (061B00056N) KY-223 AT ROAD FK STINKING CREEK","061B00056N","2022","2026","D","BRX","168705","2032","","",""
"District 11","Knox","11-10204.00","KY","3436","KY-3436","AM-BRIDGE (P)","5.332","5.35","BRIDGE PROJECT IN KNOX COUNTY ON (061B00093N) KY-3436 AT E.FK.LYNN CAMP CK","061B00093N","2022","2026","C","BRX","1019710","2031","","",""
"District 11","Knox","11-10204.00","KY","3436","KY-3436","AM-BRIDGE (P)","5.332","5.35","BRIDGE PROJECT IN KNOX COUNTY ON (061B00093N) KY-3436 AT E.FK.LYNN CAMP CK","061B00093N","2022","2026","D","BRX","152956","2031","","",""
"District 11","Knox","11-10205.00","CR","1532","CR-1532","AM-BRIDGE (P)","0.011","0.021","BRIDGE PROJECT IN KNOX COUNTY ON (061C00073N) CR-1532 AT STINKING CREEK","061C00073N","2022","2026","R","FBP","10000","2028","","",""
"District 11","Knox","11-10205.00","CR","1532","CR-1532","AM-BRIDGE (P)","0.011","0.021","BRIDGE PROJECT IN KNOX COUNTY ON (061C00073N) CR-1532 AT STINKING CREEK","061C00073N","2022","2026","U","FBP","10000","2028","","",""
"District 11","Knox","11-10205.00","CR","1532","CR-1532","AM-BRIDGE (P)","0.011","0.021","BRIDGE PROJECT IN KNOX COUNTY ON (061C00073N) CR-1532 AT STINKING CREEK","061C00073N","2022","2026","C","FBP","894355","2028","","",""
"District 11","Knox","11-80155.00","KY","1487","KY-1487","SAFETY(P)","0.369","1.176","IMPROVE SAFETY, ADDRESS GEOMETRIC DEFICIENCIES AND PROVIDE FLOOD MITIGATION ON KY 1487 (MANCHESTER STREET) FROM JUDGE STREET TO US 25E (2020CCN) (2022CCR) (2024CCR)","","2020","2026","C","CRP","7800000","2028","","",""
"District 11","Knox","11-80156.00","KY","830","KY-830","SAFETY(P)","4.775","6.566","IMPROVE SAFETY AND ADDRESS GEOMETRIC DEFICIENCIES ALONG N KY 830 FROM US 25E TO KY 1629 INCLUDING WIDENING AND NEW TURNING LANES (2020CCN) (2024CCR)","","2020","2026","R","SPP","350000","2029","","",""
"District 11","Knox","11-80156.00","KY","830","KY-830","SAFETY(P)","4.775","6.566","IMPROVE SAFETY AND ADDRESS GEOMETRIC DEFICIENCIES ALONG N KY 830 FROM US 25E TO KY 1629 INCLUDING WIDENING AND NEW TURNING LANES (2020CCN) (2024CCR)","","2020","2026","C","SPP","2080000","2030","","",""
"District 11","Knox","11-80156.00","KY","830","KY-830","SAFETY(P)","4.775","6.566","IMPROVE SAFETY AND ADDRESS GEOMETRIC DEFICIENCIES ALONG N KY 830 FROM US 25E TO KY 1629 INCLUDING WIDENING AND NEW TURNING LANES (2020CCN) (2024CCR)","","2020","2026","U","SPP","1250000","2029","","",""
"District 11","Knox","11-80203.00","KY","11","KY-11","SAFETY(P)","10.727","11.681","Improve safety and access along KY 11 by raising roadway above Flood X elevation. (2022CCN) (2024CCR)","","2022","2026","C","PRO","4890000","2030","","",""
"District 11","Knox","11-80203.00","KY","11","KY-11","SAFETY(P)","10.727","11.681","Improve safety and access along KY 11 by raising roadway above Flood X elevation. (2022CCN) (2024CCR)","","2022","2026","R","PRO","210000","2026","","",""
"District 11","Knox","11-80203.00","KY","11","KY-11","SAFETY(P)","10.727","11.681","Improve safety and access along KY 11 by raising roadway above Flood X elevation. (2022CCN) (2024CCR)","","2022","2026","U","PRO","1400000","2029","","",""
"District 11","Knox","11-80301.00","US","25","US-25","CONGESTION MITIGTN(O)","18.6","18.8","Construct a left turn lane with 350' storage and 100' taper at MP 18.62 (2024CCN)","","2024","2026","C","NH","70000","2029","","",""
"District 11","Knox","11-80302.00","US","25","US-25","CONGESTION MITIGTN(O)","19.8","20.0","Construct one left turn lane with 350' storage and 100' taper at MP 19.85 (2024CCN)","","2024","2026","C","NH","70000","2029","","",""
"District 11","Knox","11-80304.00","US","25","US-25","CONGESTION MITIGTN(O)","18.6","18.8","Construct one left turn lane with 350' storage and 100' taper at MP 18.41 and 350' storage and 100' taper at US 25 E (2024CCN)","","2024","2026","C","NH","80000","2029","","",""
"District 11","Knox","11-80311.00","CR","1311","CR-1311","MINOR WIDENING(O)","0.0","0.8","Widen Richland Creek Road from US 25E a distance of 0.70 miles (2024CCN)","","2024","2026","R","SPP","250000","2030","","",""
"District 11","Knox","11-80311.00","CR","1311","CR-1311","MINOR WIDENING(O)","0.0","0.8","Widen Richland Creek Road from US 25E a distance of 0.70 miles (2024CCN)","","2024","2026","D","SPP","780000","2029","","",""
"District 11","Knox","11-80311.00","CR","1311","CR-1311","MINOR WIDENING(O)","0.0","0.8","Widen Richland Creek Road from US 25E a distance of 0.70 miles (2024CCN)","","2024","2026","C","SPP","2000000","2032","","",""
"District 11","Knox","11-80311.00","CR","1311","CR-1311","MINOR WIDENING(O)","0.0","0.8","Widen Richland Creek Road from US 25E a distance of 0.70 miles (2024CCN)","","2024","2026","U","SPP","1500000","2031","","",""
"District 11","Knox","11-80361.00","PF","9999","PF-9999","NEW ROUTE(O)","","","Construct a new route north off of CS 2054 (Opportunity Drive) along the former RR track bed approximately 0.7 miles to KY 830 (2024CCN)","","2024","2026","C","SPP","1400000","2029","","",""
"District 11","Knox","11-80404.00","CR","1064","CR-1064","SAFETY(P)","0.0","0.1","Improve safety by realigning intersection and replacing existing bridge (2026CCN)","","2026","2026","R","SPP","100000","2030","","",""
"District 11","Knox","11-80404.00","CR","1064","CR-1064","SAFETY(P)","0.0","0.1","Improve safety by realigning intersection and replacing existing bridge (2026CCN)","","2026","2026","C","SPP","1500000","2031","","",""
"District 11","Knox","11-80404.00","CR","1064","CR-1064","SAFETY(P)","0.0","0.1","Improve safety by realigning intersection and replacing existing bridge (2026CCN)","","2026","2026","U","SPP","150000","2030","","",""
"District 11","Knox","11-80404.00","CR","1064","CR-1064","SAFETY(P)","0.0","0.1","Improve safety by realigning intersection and replacing existing bridge (2026CCN)","","2026","2026","D","SPP","200000","2029","","",""
"District 11","Knox","11-80413.00","CS","1003","CS-1003","NEW ROUTE(O)","0.0","0.15","Improve safety by constructing new access road to aquatic center owned by Barbourville Independent Schools that will be transferred to Barbourville City local government to provide safe ingress and egress to facility (2026CCN)","","2026","2026","D","SPP","150000","2026","","",""
"District 11","Knox","11-80413.00","CS","1003","CS-1003","NEW ROUTE(O)","0.0","0.15","Improve safety by constructing new access road to aquatic center owned by Barbourville Independent Schools that will be transferred to Barbourville City local government to provide safe ingress and egress to facility (2026CCN)","","2026","2026","U","SPP","75000","2027","","",""
"District 11","Knox","11-80413.00","CS","1003","CS-1003","NEW ROUTE(O)","0.0","0.15","Improve safety by constructing new access road to aquatic center owned by Barbourville Independent Schools that will be transferred to Barbourville City local government to provide safe ingress and egress to facility (2026CCN)","","2026","2026","C","SPP","750000","2028","","",""
"District 11","Knox","11-80429.00","KY","830","KY-830","REALIGNMENT","0.45","0.5","North Hamlin Ave/Roy Kidd Ave intersection realignment to include curb & gutter and sidewalks on each side (2026CCN)","","2026","2026","D","SPP","100000","2027","","",""
"District 11","Knox","11-80429.00","KY","830","KY-830","REALIGNMENT","0.45","0.5","North Hamlin Ave/Roy Kidd Ave intersection realignment to include curb & gutter and sidewalks on each side (2026CCN)","","2026","2026","U","SPP","190000","2028","","",""
"District 11","Knox","11-80429.00","KY","830","KY-830","REALIGNMENT","0.45","0.5","North Hamlin Ave/Roy Kidd Ave intersection realignment to include curb & gutter and sidewalks on each side (2026CCN)","","2026","2026","C","SPP","400000","2029","","",""
"District 11","Knox","11-80429.00","KY","830","KY-830","REALIGNMENT","0.45","0.5","North Hamlin Ave/Roy Kidd Ave intersection realignment to include curb & gutter and sidewalks on each side (2026CCN)","","2026","2026","R","SPP","75000","2027","","",""
"District 11","Laurel","11-00147.00","US","25","US-25","MAJOR WIDENING(O)","9.0","10.505","REDUCE CONGESTION ON US-25 FROM KY-1006 TO KY-2069; IMPROVE CONNECTIVITY FROM US-25 NEAR KY-2069 TO KY-229; IMPROVE KY-229 FROM THE NEW CONNECTOR NORTH TO KY-192; AND IMPROVE ACCESS TO THE SCHOOL FROM KY-192 BYPASS. (06CCR)(10CCR)(12CCR)(14CCR) (2020CCR)","","2006","2026","C","CRP","66215000","2027","","",""
"District 11","Laurel","11-00169.00","CO","0","CO-0","OTHR HWY IMPR","","","Improve Rudy Bear Road and KY 3007 from KY 80 South to KY 3432 West of I-75. (2022CCR) (2024CCR)","","2022","2026","R","SPP","2500000","2027","","",""
"District 11","Laurel","11-00169.00","CO","0","CO-0","OTHR HWY IMPR","","","Improve Rudy Bear Road and KY 3007 from KY 80 South to KY 3432 West of I-75. (2022CCR) (2024CCR)","","2022","2026","C","SPP","7600000","2031","","",""
"District 11","Laurel","11-00169.00","CO","0","CO-0","OTHR HWY IMPR","","","Improve Rudy Bear Road and KY 3007 from KY 80 South to KY 3432 West of I-75. (2022CCR) (2024CCR)","","2022","2026","U","SPP","1500000","2028","","",""
"District 11","Laurel","11-00169.00","CO","0","CO-0","OTHR HWY IMPR","","","Improve Rudy Bear Road and KY 3007 from KY 80 South to KY 3432 West of I-75. (2022CCR) (2024CCR)","","2022","2026","D","SPP","250000","2026","","",""
